iter	Logloss
0	0.6879644394
1	0.68252699
2	0.6769652116
3	0.6714905187
4	0.6667530662
5	0.6621959084
6	0.6573401501
7	0.6518008583
8	0.6457315244
9	0.6415377165
10	0.6364696904
11	0.6312159488
12	0.6267425136
13	0.6209675638
14	0.616151107
15	0.6108870757
16	0.606131654
17	0.6017051998
18	0.5968000512
19	0.5922634727
20	0.5872799723
21	0.5829707698
22	0.5785603272
23	0.574807418
24	0.5713013097
25	0.5675340452
26	0.5631999468
27	0.5596723055
28	0.5556092513
29	0.5513012535
30	0.5473707099
31	0.5442428087
32	0.5399510233
33	0.5366641597
34	0.5335378145
35	0.5294445439
36	0.5263690948
37	0.5224052228
38	0.5188465118
39	0.5156956221
40	0.511567166
41	0.5083703995
42	0.5045164008
43	0.500928427
44	0.4976440229
45	0.4946977214
46	0.4912079761
47	0.4883460497
48	0.4852829481
49	0.4822357579
50	0.4789255042
51	0.4759449206
52	0.4728736376
53	0.4699808422
54	0.4671705648
55	0.4642004716
56	0.4614855114
57	0.4580957011
58	0.4555472324
59	0.4527159239
60	0.4498035029
61	0.4470326273
62	0.4442004656
63	0.4414786791
64	0.4393069619
65	0.4365447697
66	0.4340159768
67	0.431631289
68	0.4292050914
69	0.4266909549
70	0.424072115
71	0.4215751447
72	0.4194112577
73	0.4173183692
74	0.4151721001
75	0.4128172774
76	0.4103093649
77	0.4079127814
78	0.4055116553
79	0.4032430649
80	0.4011234986
81	0.3993740333
82	0.3973849698
83	0.3954768432
84	0.3929338706
85	0.3909472164
86	0.3891270035
87	0.3873412735
88	0.3850988338
89	0.3826983351
90	0.3805749291
91	0.3788146722
92	0.3766865981
93	0.3747435118
94	0.3730834409
95	0.3710532439
96	0.3689726277
97	0.3666957303
98	0.3650483583
99	0.3632534931
100	0.3613247118
101	0.3593934963
102	0.3576339922
103	0.3558258508
104	0.35440199
105	0.3526449203
106	0.3510453827
107	0.3494933279
108	0.347574485
109	0.3460976199
110	0.3444291918
111	0.3430521112
112	0.3415219156
113	0.3397708692
114	0.3382480521
115	0.3367300285
116	0.3355903124
117	0.3338892083
118	0.3319294327
119	0.3304538476
120	0.3292478762
121	0.3276445489
122	0.3262972581
123	0.3250876477
124	0.3233809722
125	0.3220381988
126	0.3206994408
127	0.319108712
128	0.317538161
129	0.3162496968
130	0.314836753
131	0.3136386369
132	0.3127470267
133	0.3113157624
134	0.3099292705
135	0.30894154
136	0.307599419
137	0.3058667685
138	0.3045752927
139	0.3031604917
140	0.3016800629
141	0.3005841155
142	0.2993150008
143	0.2978738484
144	0.2967729568
145	0.295584779
146	0.294223685
147	0.2929446321
148	0.2919995157
149	0.2907681967
150	0.289687508
151	0.2886859241
152	0.2875087136
153	0.286180948
154	0.285172613
155	0.2841278126
156	0.2829951487
157	0.2819318269
158	0.2805843353
159	0.2795481431
160	0.2784230584
161	0.2769431817
162	0.2759474704
163	0.274863469
164	0.2740009207
165	0.2731440444
166	0.271915737
167	0.2710982875
168	0.2698339663
169	0.2691973887
170	0.2681973106
171	0.2671919873
172	0.2663197015
173	0.2656475117
174	0.2650613283
175	0.2641134011
176	0.2633145483
177	0.2623947796
178	0.2616154269
179	0.2605867386
180	0.2597500149
181	0.2590120215
